area_type,availability,location,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Jigani,DLhtsen,1221.0,3.0,3.0,52.0,3.0,4258.804258804259
Super built-up  Area,Ready To Move,Sarjapur  Road,Adeatlm,1278.0,2.0,2.0,90.0,2.0,7042.2535211267605
Super built-up  Area,Ready To Move,Kodichikkanahalli,PentyVB,1025.0,2.0,2.0,66.0,2.0,6439.024390243902
Super built-up  Area,18-Aug,Whitefield,SSdhimr,1175.0,2.0,1.0,39.0,2.0,3319.148936170213
Super built-up  Area,19-Jul,Sarjapur  Road,Sasta S,975.0,2.0,0.0,28.275,2.0,2900.0
Super built-up  Area,18-Apr,Sarjapur,SNityVe,625.0,1.0,1.0,19.0,1.0,3040.0
Super built-up  Area,Ready To Move,other,Patri M,937.0,2.0,1.0,35.0,2.0,3735.325506937033
Super built-up  Area,Ready To Move,JP Nagar,Brine J,750.0,1.0,1.0,52.5,1.0,7000.0
Built-up  Area,Ready To Move,other,Koillph,1475.0,3.0,3.0,78.0,3.0,5288.135593220339
Plot  Area,Ready To Move,Mysore Road,SrageGl,900.0,2.0,0.0,65.0,2.0,7222.222222222223
Super built-up  Area,Ready To Move,Electronic City Phase II,MJtroty,1116.0,2.0,2.0,37.0,2.0,3315.4121863799282
Super built-up  Area,Ready To Move,Bhoganhalli,Pride S,1760.0,3.0,2.0,127.0,3.0,7215.909090909091
Plot  Area,Ready To Move,Whitefield,Chllea ,4400.0,5.0,3.0,525.0,4.0,11931.818181818182
Super built-up  Area,Ready To Move,Sahakara Nagar,HoAcela,1914.0,3.0,3.0,179.0,3.0,9352.142110762801
Super built-up  Area,Ready To Move,Budigere,PrityTr,1820.0,3.0,2.0,85.5,3.0,4697.802197802198
Super built-up  Area,Ready To Move,Budigere,PrityTr,1820.0,3.0,2.0,93.0,3.0,5109.89010989011
Built-up  Area,Ready To Move,Kalena Agrahara,Rahidhi,1565.0,3.0,2.0,78.0,3.0,4984.025559105431
Super built-up  Area,Ready To Move,Begur Road,Nihtsur,1334.0,2.0,3.0,42.69,2.0,3200.1499250374814
Super built-up  Area,Ready To Move,Jigani,DLhtsan,914.0,2.0,2.0,49.0,2.0,5361.050328227571
Super built-up  Area,18-Mar,Yelahanka,Miitat ,2145.0,3.0,3.0,125.0,3.0,5827.505827505827
Super built-up  Area,Ready To Move,Marathahalli,PueraRi,3940.0,4.0,3.0,220.0,4.0,5583.756345177665
Super built-up  Area,Ready To Move,other,Rilor C,1255.0,2.0,3.0,120.0,2.0,9561.752988047809
Super built-up  Area,20-Jul,other,Soond R,2777.29,5.0,2.0,650.0,3.0,23404.10976167415
Super built-up  Area,Ready To Move,Bommasandra,Heatee ,1014.0,2.0,1.0,35.0,2.0,3451.6765285996057
Super built-up  Area,Ready To Move,Attibele,Inenshe,695.0,1.0,1.0,25.0,2.0,3597.122302158273
Plot  Area,Ready To Move,other,Prigh L,2273.0,4.0,3.0,220.0,3.0,9678.838539375274
Super built-up  Area,Ready To Move,Whitefield,SSthamh,1180.0,2.0,2.0,41.0,2.0,3474.576271186441
Super built-up  Area,20-Aug,Begur Road,Pruthg ,2400.0,4.0,2.0,152.0,4.0,6333.333333333333
Super built-up  Area,Ready To Move,Attibele,Inenshe,850.0,1.0,1.0,25.0,2.0,2941.176470588235
Super built-up  Area,Ready To Move,Banashankari,Koestpt,1200.0,2.0,1.0,60.0,2.0,5000.0
Super built-up  Area,Ready To Move,Hoodi,Keers S,1769.0,3.0,3.0,96.87,3.0,5475.975127190503
Carpet  Area,18-Dec,Bhoganhalli,Rosha I,1554.3,4.0,1.0,131.0,4.0,8428.231358167664
Super built-up  Area,Ready To Move,other,Shbhi S,905.0,2.0,1.0,40.0,2.0,4419.889502762431
Super built-up  Area,Ready To Move,Marathahalli,Palanla,1435.0,3.0,1.0,73.0,3.0,5087.1080139372825
Super built-up  Area,22-May,Jakkur,SoineC ,3405.1,6.0,3.0,400.0,4.0,11747.085254471234
Built-up  Area,Ready To Move,Kodihalli,KAMESRI,1620.0,3.0,2.0,130.0,3.0,8024.691358024691
Super built-up  Area,Ready To Move,Electronic City,GMown E,1025.0,2.0,1.0,49.0,2.0,4780.487804878048
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,1430.0,2.0,3.0,54.5,3.0,3811.188811188811
Super built-up  Area,Ready To Move,Panathur,Diensso,1235.0,2.0,3.0,65.0,2.0,5263.1578947368425
Super built-up  Area,Ready To Move,Electronics City Phase 1,NianaBr,1291.0,2.0,3.0,32.0,3.0,2478.6986831913246
Super built-up  Area,Ready To Move,Kanakpura Road,PuandHi,1498.0,3.0,2.0,95.0,3.0,6341.789052069425
Super built-up  Area,Ready To Move,Sarjapur  Road,Adeatlm,2180.0,3.0,2.0,240.0,3.0,11009.174311926605
Super built-up  Area,Ready To Move,AECS Layout,CMhamai,1123.0,2.0,2.0,64.0,2.0,5699.020480854853
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GRvanun,1235.0,2.0,1.0,75.0,2.0,6072.8744939271255
Super built-up  Area,18-Nov,Sarjapur  Road,AsastDe,984.0,2.0,1.0,45.91,2.0,4665.650406504065
Super built-up  Area,Ready To Move,Sarjapur  Road,PuineSu,1305.0,2.0,1.0,99.0,2.0,7586.206896551724
Super built-up  Area,19-Jun,Hebbal,Raard B,2790.0,5.0,3.0,204.0,4.0,7311.8279569892475
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,2010.0,3.0,2.0,125.0,4.0,6218.905472636816
Built-up  Area,Ready To Move,other,VRdelit,1277.0,2.0,2.0,59.0,2.0,4620.203602192639
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1265.0,2.0,3.0,67.0,2.0,5296.442687747036
Super built-up  Area,Ready To Move,other,ALtonea,1442.0,3.0,2.0,56.24,3.0,3900.138696255201
Super built-up  Area,Ready To Move,Ardendale,AWharde,1224.0,2.0,2.0,70.0,2.0,5718.954248366013
Super built-up  Area,Ready To Move,other,APusenc,1233.0,2.0,3.0,100.0,2.0,8110.300081103001
Super built-up  Area,Ready To Move,Electronic City,Goty  E,1449.0,3.0,2.0,90.0,3.0,6211.180124223602
Super built-up  Area,Ready To Move,other,Nisisn ,1090.0,2.0,1.0,54.0,2.0,4954.128440366972
Super built-up  Area,Ready To Move,JP Nagar,Srncyya,1200.0,2.0,3.0,78.0,2.0,6500.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,Vincyat,1000.0,2.0,2.0,58.0,2.0,5800.0
Plot  Area,18-Oct,Devanahalli,Amais V,2400.0,5.0,2.0,190.0,4.0,7916.666666666667
Super built-up  Area,21-Dec,Thanisandra,Bhe 2ko,1732.0,3.0,1.0,85.73,3.0,4949.769053117783
Super built-up  Area,Ready To Move,Banashankari,Bregae ,1290.0,2.0,2.0,80.0,2.0,6201.550387596899
Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,1917.0,4.0,2.0,100.0,3.0,5216.484089723526
Built-up  Area,Ready To Move,other,NaaveEn,1100.0,2.0,2.0,57.0,2.0,5181.818181818182
Super built-up  Area,18-Dec,Old Airport Road,Jaades ,2774.0,4.0,3.0,208.0,4.0,7498.197548666186
Super built-up  Area,Ready To Move,other,Shireru,1425.0,2.0,2.0,65.0,3.0,4561.403508771929
Super built-up  Area,18-Dec,Whitefield,Prtates,1655.0,3.0,1.0,113.0,3.0,6827.794561933535
Super built-up  Area,18-Mar,Haralur Road,SNnia E,2805.0,5.0,3.0,160.0,4.0,5704.0998217468805
Plot  Area,Ready To Move,Yelahanka,InllaPa,1800.0,4.0,2.0,180.0,4.0,10000.0
Built-up  Area,Ready To Move,other,VMowsea,2050.0,3.0,1.0,100.0,4.0,4878.048780487805
Super built-up  Area,Ready To Move,Whitefield,UKe 2nz,530.0,1.0,1.0,29.44,1.0,5554.7169811320755
Built-up  Area,19-Jun,Sarjapur,Caonand,2585.5,4.0,0.0,139.5,4.0,5395.4747631019145
Super built-up  Area,Ready To Move,Kambipura,Prrtht ,883.0,2.0,1.0,37.0,2.0,4190.260475651189
Super built-up  Area,Ready To Move,Ramagondanahalli,SVodsve,1295.0,2.0,2.0,95.0,2.0,7335.907335907336
Super built-up  Area,Ready To Move,other,Suiseit,1275.0,3.0,1.0,59.0,3.0,4627.450980392156
Super built-up  Area,Ready To Move,Bellandur,MancyRe,1063.0,2.0,1.0,58.0,2.0,5456.255879586077
Super built-up  Area,Ready To Move,Balagere,Soresea,656.0,1.0,1.0,43.0,1.0,6554.878048780488
Super built-up  Area,18-Dec,Marathahalli,Unezes ,881.0,2.0,1.0,48.06,2.0,5455.16458569807
Built-up  Area,Ready To Move,Bisuvanahalli,Prityel,700.0,1.0,1.0,32.0,2.0,4571.428571428572
Super built-up  Area,18-Dec,Hosa Road,SJerse ,1680.0,3.0,1.0,101.0,3.0,6011.9047619047615
Super built-up  Area,Ready To Move,other,MJeusyl,1253.0,2.0,2.0,57.0,2.0,4549.082202713487
Super built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1640.0,3.0,3.0,230.0,3.0,14024.390243902439
Super built-up  Area,18-Dec,Iblur Village,DNionfl,2100.0,4.0,2.0,145.0,3.0,6904.761904761905
Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2.0,1.0,58.0,2.0,5420.560747663551
Built-up  Area,18-Aug,Electronic City Phase II,Sryalan,1125.0,2.0,1.0,29.25,2.0,2600.0
Super built-up  Area,Ready To Move,Electronic City,DSgmax ,1210.0,2.0,1.0,54.0,2.0,4462.809917355372
Built-up  Area,18-Apr,Electronic City,GMown E,1500.0,2.0,1.0,75.0,3.0,5000.0
Super built-up  Area,Ready To Move,other,Sanstya,1652.5,3.0,2.0,90.0,3.0,5446.293494704993
Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,1381.0,2.0,2.0,76.18,3.0,5516.292541636496
Super built-up  Area,18-Dec,Whitefield,BSlasin,1085.0,2.0,1.0,57.0,2.0,5253.4562211981565
Super built-up  Area,18-Apr,Whitefield,Prtates,905.0,1.0,1.0,50.0,1.0,5524.861878453039
Super built-up  Area,Ready To Move,Hennur Road,MItatHa,1685.0,3.0,2.0,95.0,3.0,5637.982195845697
Super built-up  Area,Ready To Move,Somasundara Palya,ManceEl,1200.0,2.0,2.0,75.0,2.0,6250.0
Super built-up  Area,Ready To Move,Anandapura,ViensRK,1151.0,2.0,1.0,42.9,2.0,3727.193744569939
Built-up  Area,Ready To Move,Brookefield,Goodsrb,3532.0,3.0,3.0,170.0,4.0,4813.137032842582
Super built-up  Area,Ready To Move,Kanakpura Road,PuandHi,1665.0,3.0,2.0,86.91,3.0,5219.81981981982
Built-up  Area,Ready To Move,Kengeri Satellite Town,Malowr ,800.0,2.0,1.0,40.0,2.0,5000.0
Super built-up  Area,Ready To Move,Rajiv Nagar,Ahntyve,1030.0,2.0,2.0,46.5,2.0,4514.563106796117
Super built-up  Area,Ready To Move,Hoodi,Keers S,1257.0,2.0,1.0,71.03,2.0,5650.755767700875
Super built-up  Area,18-Dec,Whitefield,BSlasin,1600.0,3.0,2.0,82.0,3.0,5125.0
Super built-up  Area,Ready To Move,Choodasandra,GRlpank,1465.0,3.0,3.0,75.0,3.0,5119.453924914676
Super built-up  Area,Ready To Move,Jakkur,HRaniIb,1650.0,3.0,2.0,111.0,3.0,6727.272727272727
Super built-up  Area,Ready To Move,Koramangala,Jainaht,1300.0,2.0,2.0,82.0,2.0,6307.692307692308
Built-up  Area,Ready To Move,KR Puram,Hoston ,1000.0,2.0,1.0,44.5,2.0,4450.0
Super built-up  Area,Ready To Move,Mahadevpura,Neisei ,1146.0,2.0,1.0,53.8,2.0,4694.5898778359515
Super built-up  Area,Ready To Move,other,PrBayGa,2159.0,3.0,2.0,110.0,3.0,5094.951366373321
Super built-up  Area,Ready To Move,Whitefield,SSthamh,1255.0,2.0,2.0,40.0,2.0,3187.2509960159364
Super built-up  Area,Ready To Move,Hebbal Kempapura,Vrensn ,1130.0,2.0,2.0,60.0,2.0,5309.734513274337
Super built-up  Area,Ready To Move,Padmanabhanagar,Shers S,1200.0,2.0,1.0,60.0,2.0,5000.0
Built-up  Area,Ready To Move,Sarjapur  Road,ARineun,1040.0,2.0,1.0,37.0,2.0,3557.6923076923076
Super built-up  Area,Ready To Move,Uttarahalli,Shony S,1180.0,2.0,1.0,41.3,2.0,3499.9999999999995
Built-up  Area,Ready To Move,Sarjapur  Road,MJinele,1374.0,3.0,2.0,51.0,3.0,3711.7903930131006
Super built-up  Area,19-Dec,Whitefield,Goted U,630.5,1.0,0.0,32.15,1.0,5099.127676447264
Super built-up  Area,Ready To Move,Jalahalli,Tahtsla,2384.0,4.0,2.0,165.0,3.0,6921.140939597315
Super built-up  Area,Ready To Move,Yelahanka,Neite T,1200.0,2.0,1.0,54.0,2.0,4500.0
Built-up  Area,Ready To Move,Haralur Road,NDionas,2017.0,3.0,2.0,105.0,3.0,5205.751115518096
Built-up  Area,18-Mar,Whitefield,Prtates,905.0,1.0,1.0,52.0,1.0,5745.85635359116
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1303.0,2.0,1.0,55.79,2.0,4281.657712970069
Super built-up  Area,Ready To Move,Gottigere,SMshi M,1380.0,2.0,2.0,95.0,3.0,6884.057971014493
Super built-up  Area,Ready To Move,Harlur,Shodsir,1620.0,3.0,1.0,110.0,3.0,6790.123456790124
Super built-up  Area,Ready To Move,Sarjapur  Road,Maager ,1000.0,2.0,1.0,38.5,2.0,3850.0
Super built-up  Area,Ready To Move,Yelahanka,PuziaVe,1322.0,2.0,2.0,75.0,2.0,5673.2223903177
Super built-up  Area,Ready To Move,Sahakara Nagar,HoAcela,1500.0,3.0,2.0,125.0,3.0,8333.333333333334
Super built-up  Area,Ready To Move,Kaggadasapura,Mancya ,1256.0,2.0,2.0,50.0,3.0,3980.891719745223
Super built-up  Area,Ready To Move,Brookefield,Neestna,941.0,2.0,2.0,48.0,2.0,5100.956429330499
Plot  Area,Ready To Move,Devanahalli,Soacyst,5000.0,4.0,3.0,465.0,4.0,9300.0
Super built-up  Area,Ready To Move,Kanakpura Road,PuandHi,1665.0,3.0,2.0,86.58,3.0,5200.0
Super built-up  Area,21-Mar,Kanakpura Road,GolusLi,712.0,1.0,1.0,38.44,1.0,5398.876404494382
Super built-up  Area,17-Dec,Rajaji Nagar,ProdsWe,2648.0,5.0,0.0,251.5,4.0,9497.73413897281
Super built-up  Area,Ready To Move,Hebbal,Thuse F,1200.0,2.0,1.0,49.0,2.0,4083.3333333333335
Built-up  Area,Ready To Move,other,SaageWi,1680.0,3.0,3.0,135.0,3.0,8035.714285714285
Super built-up  Area,Ready To Move,Uttarahalli,Suitea ,1380.0,2.0,1.0,42.0,2.0,3043.478260869565
Super built-up  Area,18-May,Hebbal,Arcia S,1088.0,2.0,2.0,62.0,2.0,5698.529411764706
Super built-up  Area,Ready To Move,Harlur,Zonce E,1414.0,3.0,2.0,77.5,3.0,5480.905233380481
Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2.0,1.0,52.0,2.0,4859.813084112149
Super built-up  Area,Ready To Move,other,Maenara,1265.0,2.0,1.0,58.0,2.0,4584.98023715415
Built-up  Area,Ready To Move,other,SiidsGa,1035.0,2.0,2.0,44.0,2.0,4251.207729468599
Super built-up  Area,Ready To Move,Sonnenahalli,Skacak ,614.5,1.0,0.0,30.715,1.0,4998.372660699756
Super built-up  Area,Ready To Move,Vittasandra,Prlla C,1650.0,3.0,1.0,84.0,3.0,5090.909090909091
Super built-up  Area,Ready To Move,Marathahalli,Thowsil,1130.0,2.0,2.0,58.0,3.0,5132.743362831859
Super built-up  Area,Ready To Move,Banashankari,PrdgeSo,2582.0,5.0,2.0,250.0,3.0,9682.416731216112
Super built-up  Area,Ready To Move,other,Sowerew,2663.0,4.0,1.0,338.0,3.0,12692.452121667293
Built-up  Area,Ready To Move,other,CMhidal,1090.0,2.0,2.0,45.0,2.0,4128.440366972477
Super built-up  Area,Ready To Move,JP Nagar,DSillto,1100.0,2.0,1.0,45.0,2.0,4090.909090909091
Super built-up  Area,18-Aug,Kammasandra,DSOakil,1365.0,2.0,1.0,34.13,3.0,2500.3663003663005
Super built-up  Area,20-Feb,Vijayanagar,Saahaat,1484.0,3.0,2.0,79.19,3.0,5336.253369272237
Super built-up  Area,Ready To Move,Green Glen Layout,Prodsm ,1630.0,3.0,2.0,68.0,3.0,4171.7791411042945
Super built-up  Area,18-May,Whitefield,SMuilan,1451.0,2.0,2.0,52.43,3.0,3613.370089593384
Super built-up  Area,19-Jul,Kanakpura Road,Soazak ,1330.0,2.0,1.0,107.0,2.0,8045.112781954887
Super built-up  Area,Ready To Move,Thanisandra,NRncyrk,2127.0,3.0,2.0,135.0,3.0,6346.967559943582
Super built-up  Area,Ready To Move,Sarjapur  Road,MJinele,1173.0,2.0,2.0,45.75,3.0,3900.2557544757033
Plot  Area,18-Dec,Bannerghatta Road,Putere ,1500.0,4.0,2.0,239.0,3.0,15933.333333333334
Super built-up  Area,18-Nov,Thanisandra,Bhe 2ko,2336.5,3.0,0.0,115.89,3.0,4959.982880376631
Super built-up  Area,Ready To Move,JP Nagar,MBncyh ,1197.0,2.0,1.0,47.88,2.0,4000.0
Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,1450.0,3.0,3.0,62.4,3.0,4303.448275862069
Super built-up  Area,Ready To Move,Whitefield,SMuilan,1187.0,2.0,1.0,37.85,2.0,3188.7110362257795
Super built-up  Area,18-May,Panathur,Saite G,1370.0,2.0,2.0,54.8,3.0,4000.0
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,1036.0,2.0,2.0,39.37,2.0,3800.1930501930497
Super built-up  Area,Ready To Move,Old Madras Road,Brglede,2010.0,3.0,2.0,115.0,4.0,5721.393034825871
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,1265.0,2.0,2.0,46.6,2.0,3683.794466403162
Super built-up  Area,Ready To Move,Anandapura,ViensRK,1576.0,3.0,2.0,58.0,3.0,3680.203045685279
Super built-up  Area,Ready To Move,other,Makeser,1000.0,2.0,1.0,36.0,2.0,3600.0
Super built-up  Area,Ready To Move,Kudlu,MJinala,1293.0,2.0,2.0,85.0,3.0,6573.859242072699
Super built-up  Area,Ready To Move,Munnekollal,Keids O,1210.0,2.0,3.0,75.0,2.0,6198.347107438017
Built-up  Area,Ready To Move,HSR Layout,SruntFa,1126.0,2.0,1.0,69.0,2.0,6127.886323268206
Built-up  Area,Ready To Move,other,DSestil,1440.0,2.0,0.0,70.0,3.0,4861.111111111111
Built-up  Area,Ready To Move,Ramamurthy Nagar,SamesHo,1300.0,2.0,2.0,52.0,3.0,4000.0
Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,1276.0,2.0,2.0,75.0,2.0,5877.742946708464
Super built-up  Area,Ready To Move,Whitefield,Prtates,1216.0,2.0,1.0,83.0,2.0,6825.6578947368425
Built-up  Area,Ready To Move,other,Suiseit,1126.0,2.0,2.0,39.0,2.0,3463.587921847247
Super built-up  Area,18-May,Raja Rajeshwari Nagar,Cee 2du,1162.0,2.0,0.0,65.0,2.0,5593.803786574871
Super built-up  Area,Ready To Move,Whitefield,Nillsre,1301.0,2.0,2.0,65.0,2.0,4996.156802459646
Super built-up  Area,19-Dec,Devanahalli,Sabixtt,658.0,1.0,1.0,34.0,1.0,5167.173252279636
Super built-up  Area,Ready To Move,Whitefield,Toindls,2500.0,3.0,2.0,280.0,3.0,11200.0
Built-up  Area,Ready To Move,Chandapura,Vailsaf,1208.51,3.0,2.0,42.0,3.0,3475.3539482503247
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1133.0,2.0,2.0,38.41,2.0,3390.114739629302
Super built-up  Area,Ready To Move,other,LendaVi,1760.0,2.0,1.0,116.0,3.0,6590.909090909091
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1075.0,2.0,1.0,52.0,3.0,4837.209302325581
Super built-up  Area,Ready To Move,Sarjapur,DSousyl,940.0,2.0,1.0,25.38,2.0,2700.0
Super built-up  Area,Ready To Move,Badavala Nagar,CMDewun,1145.0,2.0,2.0,57.0,2.0,4978.1659388646285
Super built-up  Area,Ready To Move,Bannerghatta Road,SNity S,1302.5,2.0,0.0,67.73,2.0,5200.0
Built-up  Area,Ready To Move,other,Saaintv,3900.0,5.0,1.0,550.0,4.0,14102.564102564103
Super built-up  Area,Ready To Move,other,SNtua S,3317.5,5.0,0.0,268.5,4.0,8093.443858327054
Super built-up  Area,Ready To Move,Malleshwaram,Sariaat,2475.0,4.0,3.0,326.0,3.0,13171.717171717171
Built-up  Area,Ready To Move,Thubarahalli,ShdhiSa,1216.0,2.0,1.0,80.0,2.0,6578.9473684210525
Super built-up  Area,Ready To Move,Tumkur Road,Soire A,1459.0,2.0,1.0,110.0,3.0,7539.410555174777
Super built-up  Area,Ready To Move,Jakkur,Soral C,1622.0,2.0,0.0,80.0,3.0,4932.182490752158
Super built-up  Area,Ready To Move,Kanakpura Road,PuandHi,1843.0,3.0,2.0,85.0,3.0,4612.045577862181
Super built-up  Area,20-Jan,Badavala Nagar,DNncasa,1274.0,2.0,1.0,81.0,2.0,6357.9277864992155
Super built-up  Area,Ready To Move,other,KencyRe,1430.0,2.0,1.0,69.5,3.0,4860.1398601398605
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1565.0,2.0,2.0,57.91,3.0,3700.3194888178914
Super built-up  Area,Ready To Move,other,Sorisa ,1670.0,3.0,2.0,160.0,3.0,9580.838323353293
Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1695.0,3.0,2.0,150.0,3.0,8849.557522123894
Super built-up  Area,Ready To Move,other,ISeekon,1410.0,2.0,2.0,75.0,2.0,5319.148936170212
Super built-up  Area,19-Dec,Jalahalli,DSata S,1083.0,2.0,1.0,32.49,2.0,3000.0
Super built-up  Area,Ready To Move,other,Chiteny,900.0,2.0,3.0,50.0,2.0,5555.555555555556
Built-up  Area,21-Dec,Thanisandra,Bhe 2ko,693.0,1.0,1.0,34.3,1.0,4949.494949494949
Super built-up  Area,20-Dec,Electronic City,KonteiT,2435.0,4.0,3.0,119.0,4.0,4887.063655030801
Super built-up  Area,18-Aug,Iblur Village,DNionfl,1920.0,3.0,2.0,150.0,3.0,7812.5
Super built-up  Area,18-Mar,Electronic City,Prarkun,630.0,1.0,1.0,47.0,1.0,7460.31746031746
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1075.0,2.0,1.0,50.0,3.0,4651.162790697675
Super built-up  Area,Ready To Move,Nagavarapalya,PuonsSe,705.0,1.0,1.0,55.0,1.0,7801.418439716312
Super built-up  Area,Ready To Move,Mahadevpura,3Codeli,1532.0,2.0,2.0,62.0,2.0,4046.9973890339425
Super built-up  Area,Ready To Move,Rajiv Nagar,PuoodSk,1330.0,2.0,1.0,93.0,2.0,6992.481203007519
Built-up  Area,Ready To Move,Sarjapur  Road,Nauha G,1530.0,2.0,2.0,60.0,3.0,3921.5686274509803
Super built-up  Area,18-Jul,Harlur,Shodsir,1630.0,3.0,1.0,95.1,3.0,5834.355828220859
Built-up  Area,Ready To Move,Banashankari,Giaver ,1200.0,6.0,2.0,180.0,6.0,15000.0
Built-up  Area,Ready To Move,Brookefield,Saowson,1595.0,2.0,3.0,75.0,3.0,4702.194357366771
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Hiestre,1000.0,2.0,2.0,53.0,2.0,5300.0
Super built-up  Area,18-May,Electronic City Phase II,Sryalan,1000.0,2.0,1.0,28.88,2.0,2888.0
Super built-up  Area,18-Aug,Electronic City Phase II,Sryalan,1000.0,2.0,1.0,28.88,2.0,2888.0
Built-up  Area,Ready To Move,Mysore Road,PrawnRa,883.0,2.0,1.0,50.0,2.0,5662.5141562853905
Super built-up  Area,Ready To Move,other,Raide P,1776.0,2.0,3.0,75.0,3.0,4222.972972972973
Super built-up  Area,19-Dec,other,DSapeto,1347.0,2.0,1.0,37.72,3.0,2800.2969561989607
Super built-up  Area,Ready To Move,Whitefield,KKdenng,1330.0,2.0,2.0,55.0,3.0,4135.338345864661
Super built-up  Area,Ready To Move,Harlur,SomonCi,1459.0,3.0,2.0,135.0,3.0,9252.912954078136
Super built-up  Area,19-Dec,Thanisandra,Bhe 2ko,2259.0,5.0,2.0,135.0,4.0,5976.095617529881
Super built-up  Area,Ready To Move,other,Vaent V,1200.0,2.0,2.0,52.5,2.0,4375.0
Super built-up  Area,18-May,other,Dheusag,2328.0,4.0,1.0,528.0,4.0,22680.41237113402
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,660.0,1.0,1.0,15.5,2.0,2348.4848484848485
Super built-up  Area,Ready To Move,Rajaji Nagar,Brway G,1800.0,2.0,2.0,250.0,3.0,13888.888888888889
Super built-up  Area,Ready To Move,Rajaji Nagar,Brway G,3100.0,4.0,3.0,550.0,4.0,17741.935483870966
Super built-up  Area,19-Aug,Yelahanka,SMllay ,1405.0,2.0,0.0,50.58,2.0,3600.0
Super built-up  Area,18-May,Yelahanka,Prensya,602.0,1.0,1.0,26.0,1.0,4318.936877076412
Super built-up  Area,Ready To Move,Marathahalli,Asintas,1710.0,3.0,2.0,100.0,3.0,5847.953216374269
Super built-up  Area,Ready To Move,JP Nagar,Adaveth,1500.0,2.0,3.0,82.0,3.0,5466.666666666667
Built-up  Area,Ready To Move,other,VMlet C,1539.0,3.0,2.0,60.0,3.0,3898.635477582846
Super built-up  Area,20-Dec,other,PrarePa,1100.0,2.0,1.0,53.0,3.0,4818.181818181818
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1151.0,2.0,1.0,49.0,2.0,4257.167680278019
Super built-up  Area,Ready To Move,other,Prone M,1350.0,3.0,3.0,78.3,3.0,5800.0
Super built-up  Area,Ready To Move,Bannerghatta Road,Shissut,1200.0,2.0,2.0,65.0,2.0,5416.666666666667
Super built-up  Area,18-Apr,Sarjapur  Road,PualeSk,1700.0,3.0,2.0,93.5,3.0,5500.0
Built-up  Area,Ready To Move,other,SiineSu,1560.0,3.0,3.0,125.0,3.0,8012.820512820513
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2.0,3700.7240547063557
Super built-up  Area,Ready To Move,Sarjapur  Road,Arldsyo,1403.0,3.0,1.0,56.0,3.0,3991.4468995010693
Super built-up  Area,Ready To Move,Tumkur Road,Sahtsva,1416.0,3.0,1.0,94.0,3.0,6638.418079096045
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,125.0,3.0,7440.476190476191
Super built-up  Area,Ready To Move,Doddathoguru,Prora F,1595.0,3.0,3.0,62.0,3.0,3887.1473354231975
Super built-up  Area,Ready To Move,Kanakpura Road,Niacesa,1507.0,2.0,3.0,95.0,3.0,6303.9150630391505
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,1949.0,3.0,1.0,133.0,3.0,6824.012314007183
Built-up  Area,18-Dec,Electronic City Phase II,Sryalan,1000.0,2.0,1.0,28.88,2.0,2888.0
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,2480.0,3.0,2.0,245.0,3.0,9879.032258064517
Super built-up  Area,Ready To Move,Yelahanka,Rarthne,1100.0,2.0,1.0,60.0,2.0,5454.545454545455
Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,3526.0,4.0,3.0,598.0,4.0,16959.727736812252
Super built-up  Area,Ready To Move,Gottigere,Apentir,1425.0,2.0,2.0,47.0,3.0,3298.245614035088
Super built-up  Area,Ready To Move,other,Prntsax,550.0,1.0,1.0,23.0,1.0,4181.818181818182
Super built-up  Area,Ready To Move,Uttarahalli,Shony S,1385.0,2.0,2.0,48.48,3.0,3500.361010830325
